,NIP,Cl_P1
907,N201206384,3
908,N201206448,3
909,N201206459,3
910,N201206542,1
911,N201206576,1
912,N201206693,1
913,N201206698,1
914,N201206799,1
915,N201206935,0
916,N201206974,3
917,N201207039,1
918,N201207098,1
919,N201300007,1
920,N201300201,1
921,N201300441,1
922,N201300982,1
923,N201300990,1
924,N201301062,1
925,N201301074,1
926,N201301088,1
927,N201301141,1
928,N201301183,1
929,N201301191,1
930,N201301218,1
931,N201301274,2
932,N201301302,1
933,N201301375,1
934,N201301388,3
935,N201301403,1
936,N201301568,1
937,N201301627,1
938,N201301833,1
939,N201301842,1
940,N201302003,0
941,N201302006,1
942,N201302049,1
943,N201302067,1
944,N201302086,1
945,N201302093,1
946,N201302196,1
947,N201302216,3
948,N201302295,1
949,N201302305,0
950,N201302345,1
951,N201302354,1
952,N201302433,1
953,N201302457,1
954,N201302469,1
955,N201302471,0
956,N201302589,1
957,N201302642,1
958,N201302777,1
959,N201302780,3
960,N201302902,3
961,N201303062,1
962,N201303226,1
963,N201303341,1
964,N201303371,1
965,N201303434,1
966,N201303466,3
967,N201303487,1
968,N201303488,1
969,N201303502,1
970,N201303503,1
971,N201303568,1
972,N201303603,1
973,N201303680,1
974,N201303697,1
975,N201303810,1
976,N201303862,1
977,N201303893,1
978,N201303897,1
979,N201303905,1
980,N201303912,1
981,N201303927,0
982,N201303960,1
983,N201304060,1
984,N201304063,1
985,N201304149,1
986,N201304153,1
987,N201304167,1
988,N201304212,1
989,N201304214,1
990,N201304215,1
991,N201304295,1
992,N201304427,1
993,N201304431,1
994,N201304484,1
995,N201304581,1
996,N201304664,1
997,N201304715,1
998,N201304742,3
999,N201304778,1
1000,N201304829,3
1001,N201304833,1
1002,N201304875,1
1003,N201305036,1
1004,N201305106,1
1005,N201305176,3
1006,N201305179,1
1007,N201305180,1
1008,N201305304,1
1009,N201305357,3
1010,N201305392,1
1011,N201305424,1
1012,N201305444,1
1013,N201305482,1
1014,N201305514,1
1015,N201305523,1
1016,N201305580,1
1017,N201305679,1
1018,N201305736,1
1019,N201305765,3
1020,N201305786,1
1021,N201305796,1
1022,N201305815,1
1023,N201305941,1
1024,N201305983,1
1025,N201305984,3
1026,N201306003,1
1027,N201306174,1
1028,N201306207,1
1029,N201306211,3
1030,N201306365,1
1031,N201306481,1
1032,N201306489,1
1033,N201306563,2
1034,N201306631,1
1035,N201306636,1
1036,N201306646,1
1037,N201306672,2
1038,N201306845,1
1039,N201306912,0
1040,N201307045,1
1041,N201307104,1
1042,N201307139,1
1043,N201307150,1
1044,N201307177,1
1045,N201307191,1
1046,N201307216,1
1047,N201307339,1
1048,N201307363,0
1049,N201307438,1
