,NIP,Cl_P
638,N201800429,1
639,N201800444,1
640,N201800517,2
641,N201800525,2
642,N201800626,2
643,N201800660,2
644,N201800709,2
645,N201800720,3
646,N201800742,3
647,N201800768,2
648,N201800808,2
649,N201800823,0
650,N201800865,2
651,N201800874,0
652,N201800916,2
653,N201801031,0
654,N201801047,2
655,N201801109,1
656,N201801154,1
657,N201801174,1
658,N201801212,1
659,N201801248,3
660,N201801284,3
661,N201801296,3
662,N201801309,1
663,N201801322,1
664,N201801356,2
665,N201801408,2
666,N201801432,0
667,N201801449,2
668,N201801450,1
669,N201801472,2
670,N201801474,2
671,N201801476,3
672,N201801509,2
673,N201801517,1
674,N201801535,2
675,N201801651,2
676,N201801668,2
677,N201801710,3
678,N201801734,2
679,N201801736,1
680,N201801746,2
681,N201801774,2
682,N201801798,2
683,N201801821,3
684,N201801833,1
685,N201801840,2
686,N201801854,3
687,N201801864,2
688,N201801868,3
689,N201801916,3
690,N201801956,0
691,N201801958,2
692,N201801960,2
693,N201801987,2
694,N201801999,0
695,N201802002,1
696,N201802083,2
697,N201802120,1
698,N201802127,1
699,N201802143,1
700,N201802150,1
701,N201802158,2
702,N201802212,2
703,N201802258,1
704,N201802260,1
705,N201802263,2
706,N201802314,1
707,N201802317,2
708,N201802323,3
709,N201802324,2
710,N201802363,3
711,N201802393,0
712,N201802410,2
713,N201802424,2
714,N201802492,2
715,N201802506,2
716,N201802518,2
717,N201802519,1
718,N201802529,0
719,N201802532,2
720,N201802542,2
721,N201802598,2
722,N201802626,0
723,N201802633,2
724,N201802653,2
725,N201802676,3
726,N201802691,3
727,N201802694,2
728,N201802708,1
729,N201802724,1
730,N201802729,2
731,N201802777,2
732,N201802802,1
733,N201802836,2
734,N201802854,2
735,N201802856,2
736,N201802863,1
737,N201802894,2
738,N201802929,1
739,N201802938,2
740,N201802947,2
741,N201802952,0
742,N201802958,2
743,N201803002,2
744,N201803014,2
745,N201803028,2
746,N201803066,2
747,N201803073,1
748,N201803093,2
